"number","question","answer","explanation"
"60","아세틸렌을 용기에 충전시 다공물질 다공도의 범위로 바른 것은?","3",""
"61","다음 중 오르자트(Orsat) 가스분석기에서 가스에 따른 흡수 제가 잘못 연결된 것은?","4",""
"62","기차가 5.0% 인 루츠가스 미터로 측정한 유량이 30.4m 3 /h 였다면 기준기로 측정한 유량은 몇 m 3 /h 인가?","3",""
"63","다음 시료가스 중에서 적외선 분광법으로 측정 가능한 기체 는?","2",""
"64","기체 크로마토그라피법의 원리로서 가장 적합한 것은?","1",""
"65","1차 제어장치가 제어량을 측정하여 제어명령을 하고 2차 제 어장치가 이 명령을 바탕으로 제어량을 조절하는 측정제어 와 가장 가까운 것은?","3",""
"66","다음 가스미터 중 추량식 가스미터는?","4",""
"67","다음 압력변화에 의한 탄성변위를 이용한 압력계는?","3",""
"68","점화를 행하려고 한다. 자동제어방법에 적용되는 것은?","1",""
"69","다음의 사항 중 압력계에 관한 설명이 옳은 것은?","3",""
"70","어떤 분리관에서 얻은 벤젠의 기체 크로마토그램을 분석 하 였더니 시료 도입점으로부터 피크최고점까지의 길이가 85.4 mm, 봉우리의 폭이 9.6 mm 이었다. 이론단수는?","1",""
"71","10 호 가스미터기로 1일 4 시간씩 20 일간 작동 했다면 최 대 사용 가스량은 얼마인가? (단, 압력차 수주 30 mmH 2 O 이다.)","4",""
"72","다음 제어동작 중 연속동작에 해당되지 않는 것은?","1",""
"73","가스미터의 선정시 주의해야 할 사항이 아닌 것은?","2",""
"74","도시가스의 누출여부를 검사할 때 사용되는 검지기가 아닌 것은 ?","4",""
"75","가스미터 부착기준 중 유의할 사항이 아닌 것은?","4",""
"76","기체연료의 발열량을 측정하는 열량계는 어느 것인가?","3",""
"77","압력계와 진공계 두가지 기능을 갖춘 압력 게이지를 무엇이 라고 하는가?","2",""
"78","다음 중 용적식 유량계 형태가 아닌 것은?","3",""
"79","가스미터의 필요 조건이 아닌 것은?","3",""
"80","유량의 계측 단위로 옳지 않은 것은?","4",""
